                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1459,                0.70234,                 1.1716,                0.96511,                0.95992,                0.97616,                0.70675,                 1.0177,                  0.511,                 1.0997,             0.00086902,             0.00086902,             0.00086902
                     36,                 1.1252,                0.69935,                 1.1638,                0.96365,                0.96587,                0.97763,                0.71348,                 1.0049,                 0.4857,                 1.0875,             0.00086169,             0.00086169,             0.00086169
                     37,                 1.1547,                0.69175,                 1.1731,                0.95128,                0.96358,                0.97618,                0.69366,                 1.0332,                 0.5119,                 1.1079,             0.00085436,             0.00085436,             0.00085436
                     38,                 1.1366,                0.69428,                 1.1786,                0.96894,                 0.9586,                 0.9771,                0.70447,                 1.0088,                0.49073,                  1.093,             0.00084703,             0.00084703,             0.00084703
                     39,                 1.1324,                0.69007,                 1.1705,                0.95417,                0.96548,                 0.9758,                0.70488,                 1.0073,                0.48868,                 1.0964,             0.00083969,             0.00083969,             0.00083969
                     40,                 1.1187,                 0.6894,                 1.1667,                0.96891,                 0.9579,                0.97708,                0.71457,                 0.9865,                0.47892,                  1.085,             0.00083236,             0.00083236,             0.00083236
                     41,                 1.1276,                0.67518,                 1.1668,                0.96381,                0.95092,                0.97719,                0.70815,                0.97844,                0.49025,                 1.0833,             0.00082503,             0.00082503,             0.00082503
                     42,                  1.105,                0.66539,                  1.154,                0.95028,                0.96063,                0.97702,                0.71219,                 1.0176,                0.47556,                 1.0936,              0.0008177,              0.0008177,              0.0008177
                     43,                 1.1216,                0.67309,                 1.1652,                0.96709,                0.95717,                0.97909,                 0.7149,                 1.0025,                0.48261,                 1.0879,             0.00081036,             0.00081036,             0.00081036
                     44,                 1.1091,                0.65469,                 1.1528,                0.96133,                0.95676,                0.97494,                0.71459,                0.97577,                0.48111,                 1.0759,             0.00080303,             0.00080303,             0.00080303
                     45,                  1.105,                0.66114,                  1.149,                0.95561,                0.95863,                0.97717,                0.70203,                 1.0142,                0.48174,                 1.0861,              0.0007957,              0.0007957,              0.0007957
                     46,                 1.0862,                0.65867,                 1.1483,                0.96623,                0.97112,                0.97942,                0.71357,                0.98684,                0.47984,                 1.0879,             0.00078837,             0.00078837,             0.00078837
                     47,                 1.0918,                0.66033,                 1.1438,                0.96209,                0.96463,                0.97867,                0.70885,                 1.0068,                0.48439,                 1.1059,             0.00078103,             0.00078103,             0.00078103
                     48,                  1.101,                0.65921,                 1.1545,                0.97022,                0.95555,                0.98078,                0.70721,                 1.0104,                0.47684,                 1.0778,              0.0007737,              0.0007737,              0.0007737
                     49,                 1.0757,                0.65059,                 1.1366,                0.96597,                0.96983,                0.98027,                0.71567,                0.99586,                0.47122,                 1.0829,             0.00076637,             0.00076637,             0.00076637
                     50,                 1.0775,                0.64466,                 1.1348,                0.96439,                 0.9645,                0.97703,                0.71507,                0.97128,                0.46799,                 1.0808,             0.00075904,             0.00075904,             0.00075904
                     51,                 1.0717,                0.63776,                 1.1311,                0.96894,                 0.9647,                0.97664,                0.70817,                0.99259,                0.47039,                 1.0978,              0.0007517,              0.0007517,              0.0007517
                     52,                 1.0713,                0.63685,                 1.1393,                0.96334,                0.97188,                0.98063,                0.71259,                0.99499,                0.47177,                 1.0801,             0.00074437,             0.00074437,             0.00074437
                     53,                 1.0626,                0.63755,                 1.1237,                 0.9594,                 0.9751,                0.97614,                0.71176,                0.98136,                 0.4612,                 1.0801,             0.00073704,             0.00073704,             0.00073704
                     54,                 1.0661,                0.62904,                 1.1333,                0.96745,                0.97138,                0.97916,                0.72469,                0.97028,                0.45672,                 1.0755,              0.0007297,              0.0007297,              0.0007297
                     55,                 1.0521,                0.62542,                 1.1298,                0.96206,                0.96665,                0.97709,                0.71233,                 1.0034,                0.47192,                 1.0963,             0.00072237,             0.00072237,             0.00072237
                     56,                  1.061,                0.62636,                 1.1255,                0.96817,                0.96098,                0.98146,                0.70946,                 1.0206,                0.46444,                 1.0885,             0.00071504,             0.00071504,             0.00071504
                     57,                 1.0505,                0.61303,                 1.1201,                0.96201,                0.97266,                 0.9787,                0.71698,                0.99938,                0.47829,                 1.1018,             0.00070771,             0.00070771,             0.00070771
                     58,                 1.0551,                0.62035,                 1.1287,                0.95297,                0.96765,                0.97971,                0.72225,                0.99436,                0.46696,                 1.0835,             0.00070037,             0.00070037,             0.00070037
                     59,                 1.0349,                 0.6184,                 1.1201,                 0.9669,                0.96718,                0.97896,                0.71857,                0.99789,                0.45775,                 1.0851,             0.00069304,             0.00069304,             0.00069304
                     60,                 1.0253,                0.61014,                 1.1144,                0.96565,                0.96687,                0.97753,                0.71353,                 0.9923,                0.45991,                 1.0918,             0.00068571,             0.00068571,             0.00068571
                     61,                 1.0315,                 0.6129,                 1.1122,                0.97452,                0.96063,                0.97767,                0.71455,                0.98713,                0.45775,                  1.093,             0.00067838,             0.00067838,             0.00067838
                     62,                 1.0299,                0.61226,                 1.1155,                0.96421,                0.96217,                0.98186,                 0.7067,                 1.0227,                 0.4598,                 1.1006,             0.00067104,             0.00067104,             0.00067104
                     63,                 1.0259,                0.60259,                 1.1147,                0.96421,                0.96609,                0.97961,                0.72023,                0.98209,                 0.4632,                 1.0859,             0.00066371,             0.00066371,             0.00066371
                     64,                 1.0138,                0.59641,                 1.1018,                0.96246,                0.96695,                0.97996,                0.72709,                0.97897,                0.44944,                 1.0791,             0.00065638,             0.00065638,             0.00065638
                     65,                 1.0021,                0.59277,                 1.1026,                 0.9726,                 0.9581,                0.98048,                0.71432,                 1.0041,                0.45487,                 1.0975,             0.00064905,             0.00064905,             0.00064905
                     66,                 1.0203,                0.60491,                 1.1079,                  0.969,                0.95655,                0.97809,                 0.7249,                0.97095,                0.46501,                 1.0816,             0.00064171,             0.00064171,             0.00064171
                     67,                 1.0044,                0.58712,                 1.1017,                0.97069,                0.95904,                 0.9777,                0.71628,                 1.0045,                0.45872,                   1.09,             0.00063438,             0.00063438,             0.00063438
                     68,                 1.0014,                0.59269,                 1.1015,                0.97402,                0.96455,                0.97636,                0.71951,                0.98704,                0.45518,                 1.0874,             0.00062705,             0.00062705,             0.00062705
                     69,                 1.0092,                0.58825,                 1.1037,                0.96806,                0.96224,                0.97972,                0.72099,                0.97794,                0.45604,                 1.0817,             0.00061972,             0.00061972,             0.00061972
                     70,                 1.0048,                0.58427,                  1.103,                0.96311,                0.96847,                0.97555,                0.72549,                0.98794,                0.44451,                 1.0793,             0.00061238,             0.00061238,             0.00061238
                     71,                 1.0024,                0.58657,                  1.097,                0.96454,                0.95958,                0.97601,                0.71233,                0.99672,                0.45697,                 1.0884,             0.00060505,             0.00060505,             0.00060505
                     72,                0.99676,                0.58979,                 1.0982,                 0.9666,                0.96454,                0.97717,                0.71537,                0.99711,                0.45505,                 1.0965,             0.00059772,             0.00059772,             0.00059772
                     73,                0.99113,                0.57331,                 1.0975,                0.97032,                0.96416,                0.98088,                 0.7225,                0.99546,                0.45341,                 1.0874,             0.00059039,             0.00059039,             0.00059039
                     74,                0.98594,                0.57745,                 1.0921,                0.96824,                0.96693,                0.97802,                0.71628,                0.99416,                0.45126,                 1.0842,             0.00058305,             0.00058305,             0.00058305
                     75,                0.98843,                0.58405,                 1.0933,                 0.9719,                0.95023,                 0.9774,                0.71967,                0.98847,                0.44722,                 1.0839,             0.00057572,             0.00057572,             0.00057572
                     76,                0.98656,                0.56679,                 1.0904,                0.97279,                 0.9572,                0.98074,                0.72527,                0.99551,                0.45397,                 1.0885,             0.00056839,             0.00056839,             0.00056839
                     77,                0.98491,                0.57006,                 1.0922,                0.96622,                0.96318,                 0.9756,                0.72348,                0.97928,                0.45005,                 1.0795,             0.00056105,             0.00056105,             0.00056105
                     78,                0.95731,                0.56568,                 1.0736,                0.96642,                0.95786,                0.97615,                0.72092,                0.98865,                0.44168,                  1.088,             0.00055372,             0.00055372,             0.00055372
                     79,                0.96752,                0.57274,                 1.0838,                 0.9701,                0.95898,                0.97684,                0.71066,                 1.0017,                0.44387,                 1.0868,             0.00054639,             0.00054639,             0.00054639
                     80,                0.96161,                0.57933,                 1.0778,                0.95997,                0.96531,                0.97982,                0.72088,                0.98317,                0.43508,                 1.0816,             0.00053906,             0.00053906,             0.00053906
                     81,                0.97061,                0.57185,                 1.0814,                0.96598,                0.96457,                0.97721,                0.71905,                0.99594,                0.44897,                 1.0954,             0.00053172,             0.00053172,             0.00053172
                     82,                0.94962,                0.55937,                 1.0687,                0.96384,                0.96167,                0.97638,                0.72443,                0.98407,                0.44368,                 1.0892,             0.00052439,             0.00052439,             0.00052439
                     83,                0.96357,                0.55371,                   1.08,                0.96216,                0.97146,                0.97724,                0.71681,                0.98977,                0.44396,                 1.0895,             0.00051706,             0.00051706,             0.00051706
                     84,                0.94535,                0.55497,                 1.0712,                0.97298,                0.95891,                0.97387,                 0.7223,                0.98615,                0.44821,                 1.0901,             0.00050973,             0.00050973,             0.00050973
                     85,                0.95347,                0.55877,                 1.0757,                0.97044,                0.95917,                0.97608,                 0.7154,                0.99136,                 0.4458,                 1.0878,             0.00050239,             0.00050239,             0.00050239
                     86,                0.93985,                0.54794,                 1.0684,                0.96363,                0.96208,                0.97732,                0.72515,                0.97404,                0.43523,                 1.0803,             0.00049506,             0.00049506,             0.00049506
                     87,                0.94873,                0.54336,                 1.0694,                0.96873,                0.96047,                0.97534,                0.71457,                0.99035,                0.44248,                 1.0897,             0.00048773,             0.00048773,             0.00048773
                     88,                0.92856,                0.53571,                  1.061,                 0.9655,                0.96018,                0.97545,                 0.7231,                0.97929,                0.44569,                 1.0826,              0.0004804,              0.0004804,              0.0004804
                     89,                 0.9353,                0.54286,                 1.0645,                0.97259,                0.95966,                0.97803,                0.72658,                0.97706,                0.43178,                 1.0839,             0.00047306,             0.00047306,             0.00047306
                     90,                 0.9428,                0.54234,                 1.0635,                0.97225,                0.96286,                0.97723,                 0.7229,                 0.9753,                0.42993,                 1.0833,             0.00046573,             0.00046573,             0.00046573
                     91,                0.93056,                0.54932,                 1.0583,                0.96666,                0.96282,                0.97855,                0.73002,                0.97435,                0.43394,                 1.0805,              0.0004584,              0.0004584,              0.0004584
                     92,                0.93199,                0.54525,                 1.0628,                0.96567,                0.96614,                0.98003,                0.72483,                0.97659,                0.43938,                  1.081,             0.00045107,             0.00045107,             0.00045107
                     93,                0.91977,                0.53509,                 1.0562,                0.96931,                0.95332,                0.97522,                0.72495,                0.98993,                0.44358,                 1.0899,             0.00044373,             0.00044373,             0.00044373
                     94,                 0.9284,                0.54842,                 1.0637,                 0.9693,                0.96043,                0.97577,                0.71684,                0.97495,                 0.4352,                 1.0789,              0.0004364,              0.0004364,              0.0004364
                     95,                0.91876,                0.53388,                  1.051,                 0.9702,                0.95917,                0.97555,                0.72009,                0.99164,                0.43888,                 1.0925,             0.00042907,             0.00042907,             0.00042907
                     96,                0.91159,                0.52459,                 1.0529,                0.96493,                 0.9573,                0.97362,                0.71843,                0.98396,                0.43826,                 1.0833,             0.00042174,             0.00042174,             0.00042174
                     97,                0.92052,                0.53681,                 1.0552,                0.97123,                0.95993,                 0.9755,                0.72676,                0.98151,                0.43121,                 1.0875,              0.0004144,              0.0004144,              0.0004144
                     98,                0.90894,                0.52511,                 1.0533,                0.97122,                0.95527,                0.97858,                 0.7289,                0.98274,                0.43163,                 1.0938,             0.00040707,             0.00040707,             0.00040707
                     99,                0.90449,                0.52733,                 1.0486,                 0.9754,                0.96059,                0.97811,                0.72724,                0.97089,                0.42985,                 1.0896,             0.00039974,             0.00039974,             0.00039974
                    100,                0.90194,                0.51523,                 1.0464,                0.95872,                0.97216,                0.97625,                0.72436,                 0.9816,                0.42879,                 1.0861,             0.00039241,             0.00039241,             0.00039241
                    101,                0.90604,                0.51574,                 1.0533,                0.96808,                0.96316,                0.97773,                0.72437,                0.98921,                0.43586,                 1.0932,             0.00038507,             0.00038507,             0.00038507
                    102,                0.89208,                0.52054,                 1.0477,                0.96741,                0.96279,                0.97292,                0.71863,                0.99364,                0.43968,                 1.0917,             0.00037774,             0.00037774,             0.00037774
                    103,                0.89612,                0.52151,                 1.0478,                0.96351,                0.96698,                 0.9751,                0.71722,                0.99463,                0.43548,                 1.0947,             0.00037041,             0.00037041,             0.00037041
                    104,                0.88212,                0.51673,                 1.0378,                0.96338,                0.96497,                0.97304,                0.71553,                0.99364,                0.43662,                 1.0991,             0.00036307,             0.00036307,             0.00036307
                    105,                0.87741,                 0.5121,                 1.0335,                0.96936,                0.96955,                0.97632,                0.72156,                0.97106,                0.42584,                 1.0826,             0.00035574,             0.00035574,             0.00035574
                    106,                0.88702,                0.51344,                 1.0384,                 0.9673,                0.96084,                0.97695,                0.72468,                0.98262,                0.43647,                 1.0912,             0.00034841,             0.00034841,             0.00034841
                    107,                0.87929,                0.51314,                 1.0331,                 0.9722,                  0.968,                0.97708,                0.72565,                0.97878,                0.42448,                 1.0918,             0.00034108,             0.00034108,             0.00034108
                    108,                0.88535,                0.51448,                  1.044,                0.96841,                0.97074,                0.97562,                0.72054,                0.98522,                0.42949,                 1.0961,             0.00033374,             0.00033374,             0.00033374
                    109,                0.87028,                0.51204,                 1.0365,                 0.9702,                0.96142,                0.97612,                0.72096,                0.98889,                0.43001,                 1.0968,             0.00032641,             0.00032641,             0.00032641
                    110,                0.87958,                0.50697,                  1.038,                0.96614,                0.97158,                0.97493,                 0.7278,                0.97884,                0.42107,                 1.0898,             0.00031908,             0.00031908,             0.00031908
                    111,                0.86603,                0.50479,                 1.0357,                0.96793,                0.97153,                0.97554,                0.72898,                0.97799,                0.42468,                 1.0909,             0.00031175,             0.00031175,             0.00031175
                    112,                0.86792,                0.49736,                 1.0356,                0.96462,                0.96939,                0.97391,                0.72829,                0.97832,                0.42465,                 1.0885,             0.00030441,             0.00030441,             0.00030441
                    113,                0.87375,                0.50254,                 1.0333,                0.96564,                0.97505,                0.97666,                0.72706,                0.98002,                0.41856,                 1.0924,             0.00029708,             0.00029708,             0.00029708
